,,,,,,,Daily Price Arrival Report-16-11-2025 to 16-05-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",850.00,Rs./Quintal,847.10,Metric Tonnes,03-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,856.40,Metric Tonnes,03-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,800.00","1,200.00",Rs./Quintal,"1,365.40",Metric Tonnes,02-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,"1,004.40",Metric Tonnes,02-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,691.40,Metric Tonnes,02-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,871.50,Metric Tonnes,02-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",850.00,Rs./Quintal,"1,384.90",Metric Tonnes,02-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,"1,019.60",Metric Tonnes,02-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,900.00","1,250.00",Rs./Quintal,"1,768.50",Metric Tonnes,01-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,559.70,Metric Tonnes,01-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,863.70,Metric Tonnes,01-01-2026

